session_id,src_ip,dst_ip,src_port,dst_port,start_time,end_time,duration,packet_count,total_bytes,avg_packet_size,syn_count,ack_count,fin_count,rst_count,psh_count,handshake_complete,proper_close,ttl_values,ttl_mean,ttl_std,ttl_min,ttl_max,window_mean,window_std,window_min,window_max,mss,window_scale,sack_permitted,has_timestamps
203.140.25.50:80-192.168.1.1:1129,203.140.25.50,192.168.1.1,80,1129,1160011520.800107,1160011520.80787,0.007762908935546875,5,1677,335.4,1,5,1,0,1,True,True,"[64, 64, 64, 64, 64]",64.0,0.0,64,64,5840.0,0.0,5840.0,5840.0,1460.0,,True,False
203.140.25.50:80-192.168.1.1:1130,203.140.25.50,192.168.1.1,80,1130,1160011520.804534,1160011520.81087,0.0063359737396240234,5,1677,335.4,1,5,1,0,1,True,True,"[64, 64, 64, 64, 64]",64.0,0.0,64,64,5840.0,0.0,5840.0,5840.0,1460.0,,True,False
203.140.25.50:80-192.168.1.1:1133,203.140.25.50,192.168.1.1,80,1133,1160011520.812278,1160011520.817918,0.0056400299072265625,5,1677,335.4,1,5,1,0,1,True,True,"[64, 64, 64, 64, 64]",64.0,0.0,64,64,5840.0,0.0,5840.0,5840.0,1460.0,,True,False
207.46.18.94:80-192.168.1.1:1099,207.46.18.94,192.168.1.1,80,1099,1160011514.630746,1160011514.661848,0.03110218048095703,5,4462,892.4,1,5,1,0,1,True,True,"[64, 64, 64, 64, 64]",64.0,0.0,64,64,5840.0,0.0,5840.0,5840.0,1460.0,,True,False
210.153.70.38:80-192.168.1.1:1111,210.153.70.38,192.168.1.1,80,1111,1160011519.320736,1160011519.326161,0.005424976348876953,5,1677,335.4,1,5,1,0,1,True,True,"[64, 64, 64, 64, 64]",64.0,0.0,64,64,5840.0,0.0,5840.0,5840.0,1460.0,,True,False
210.153.70.38:80-192.168.1.1:1112,210.153.70.38,192.168.1.1,80,1112,1160011519.320796,1160011519.327614,0.006818056106567383,5,1677,335.4,1,5,1,0,1,True,True,"[64, 64, 64, 64, 64]",64.0,0.0,64,64,5840.0,0.0,5840.0,5840.0,1460.0,,True,False
210.153.70.38:80-192.168.1.1:1113,210.153.70.38,192.168.1.1,80,1113,1160011519.327717,1160011519.334294,0.006577014923095703,5,1677,335.4,1,5,1,0,1,True,True,"[64, 64, 64, 64, 64]",64.0,0.0,64,64,5840.0,0.0,5840.0,5840.0,1460.0,,True,False
211.8.0.252:80-192.168.1.1:1117,211.8.0.252,192.168.1.1,80,1117,1160011520.762553,1160011520.768633,0.006079912185668945,5,1677,335.4,1,5,1,0,1,True,True,"[64, 64, 64, 64, 64]",64.0,0.0,64,64,5840.0,0.0,5840.0,5840.0,1460.0,,True,False
211.8.0.252:80-192.168.1.1:1118,211.8.0.252,192.168.1.1,80,1118,1160011520.762602,1160011520.769109,0.006506919860839844,5,1677,335.4,1,5,1,0,1,True,True,"[64, 64, 64, 64, 64]",64.0,0.0,64,64,5840.0,0.0,5840.0,5840.0,1460.0,,True,False
211.8.0.252:80-192.168.1.1:1119,211.8.0.252,192.168.1.1,80,1119,1160011520.771522,1160011520.777902,0.006379842758178711,5,1677,335.4,1,5,1,0,1,True,True,"[64, 64, 64, 64, 64]",64.0,0.0,64,64,5840.0,0.0,5840.0,5840.0,1460.0,,True,False
211.8.0.252:80-192.168.1.1:1120,211.8.0.252,192.168.1.1,80,1120,1160011520.771568,1160011520.781536,0.009968042373657227,5,1677,335.4,1,5,1,0,1,True,True,"[64, 64, 64, 64, 64]",64.0,0.0,64,64,5840.0,0.0,5840.0,5840.0,1460.0,,True,False
211.8.0.252:80-192.168.1.1:1121,211.8.0.252,192.168.1.1,80,1121,1160011520.779833,1160011520.786456,0.006623029708862305,5,1677,335.4,1,5,1,0,1,True,True,"[64, 64, 64, 64, 64]",64.0,0.0,64,64,5840.0,0.0,5840.0,5840.0,1460.0,,True,False
211.8.0.252:80-192.168.1.1:1122,211.8.0.252,192.168.1.1,80,1122,1160011520.781607,1160011520.791974,0.010367155075073242,5,1677,335.4,1,5,1,0,1,True,True,"[64, 64, 64, 64, 64]",64.0,0.0,64,64,5840.0,0.0,5840.0,5840.0,1460.0,,True,False
211.8.0.252:80-192.168.1.1:1131,211.8.0.252,192.168.1.1,80,1131,1160011520.805883,1160011520.812357,0.006474018096923828,5,1677,335.4,1,5,1,0,1,True,True,"[64, 64, 64, 64, 64]",64.0,0.0,64,64,5840.0,0.0,5840.0,5840.0,1460.0,,True,False
211.8.0.252:80-192.168.1.1:1132,211.8.0.252,192.168.1.1,80,1132,1160011520.807984,1160011520.816739,0.008754968643188477,5,1677,335.4,1,5,1,0,1,True,True,"[64, 64, 64, 64, 64]",64.0,0.0,64,64,5840.0,0.0,5840.0,5840.0,1460.0,,True,False
211.8.0.252:80-192.168.1.1:1134,211.8.0.252,192.168.1.1,80,1134,1160011520.819872,1160011520.825045,0.005173206329345703,5,1677,335.4,1,5,1,0,1,True,True,"[64, 64, 64, 64, 64]",64.0,0.0,64,64,5840.0,0.0,5840.0,5840.0,1460.0,,True,False
219.163.5.185:80-192.168.1.1:1114,219.163.5.185,192.168.1.1,80,1114,1160011519.873195,1160011519.880237,0.0070421695709228516,5,1677,335.4,1,5,1,0,1,True,True,"[64, 64, 64, 64, 64]",64.0,0.0,64,64,5840.0,0.0,5840.0,5840.0,1460.0,,True,False
219.163.5.185:80-192.168.1.1:1115,219.163.5.185,192.168.1.1,80,1115,1160011519.87325,1160011519.878799,0.005548954010009766,5,1677,335.4,1,5,1,0,1,True,True,"[64, 64, 64, 64, 64]",64.0,0.0,64,64,5840.0,0.0,5840.0,5840.0,1460.0,,True,False
219.163.5.185:80-192.168.1.1:1116,219.163.5.185,192.168.1.1,80,1116,1160011519.880312,1160011519.886884,0.00657200813293457,5,1677,335.4,1,5,1,0,1,True,True,"[64, 64, 64, 64, 64]",64.0,0.0,64,64,5840.0,0.0,5840.0,5840.0,1460.0,,True,False
61.121.100.107:80-192.168.1.1:1102,61.121.100.107,192.168.1.1,80,1102,1160011516.131218,1160011516.136982,0.005764007568359375,5,1677,335.4,1,5,1,0,1,True,True,"[64, 64, 64, 64, 64]",64.0,0.0,64,64,5840.0,0.0,5840.0,5840.0,1460.0,,True,False
61.121.100.107:80-192.168.1.1:1103,61.121.100.107,192.168.1.1,80,1103,1160011516.132866,1160011516.138404,0.005537986755371094,5,1677,335.4,1,5,1,0,1,True,True,"[64, 64, 64, 64, 64]",64.0,0.0,64,64,5840.0,0.0,5840.0,5840.0,1460.0,,True,False
61.121.100.107:80-192.168.1.1:1104,61.121.100.107,192.168.1.1,80,1104,1160011516.137737,1160011516.143433,0.00569605827331543,5,1677,335.4,1,5,1,0,1,True,True,"[64, 64, 64, 64, 64]",64.0,0.0,64,64,5840.0,0.0,5840.0,5840.0,1460.0,,True,False
84.244.1.30:5050-192.168.1.1:1101,84.244.1.30,192.168.1.1,5050,1101,1160011515.563167,1160011524.725937,9.162769794464111,17,2696,158.58823529411765,1,17,0,0,5,True,False,"[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]",64.0,0.0,64,64,5840.0,0.0,5840.0,5840.0,1460.0,,True,False
